Temperature (C)	Pressure (psia)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, F/psia)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, F/psia)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-18.811	270.00	993.15	0.0010069	124.43	126.30	0.57105	0.90985	1.9962	687.71	0.00082726	undefined	undefined	0.0084830	48.470	0.020631	362.13	400.54	1.6493	0.80596	1.3218	218.05	0.21836	undefined	undefined
-17.573	280.00	987.96	0.0010122	126.82	128.77	0.58046	0.90970	2.0087	679.48	0.00099464	undefined	undefined	0.0082438	50.346	0.019863	362.23	400.58	1.6440	0.81039	1.3400	217.72	0.21578	undefined	undefined
-16.367	290.00	982.85	0.0010174	129.16	131.19	0.58963	0.90958	2.0215	671.45	0.0011643	undefined	undefined	0.0080122	52.234	0.019145	362.32	400.60	1.6388	0.81474	1.3586	217.39	0.21332	undefined	undefined
-15.190	300.00	977.82	0.0010227	131.45	133.56	0.59858	0.90948	2.0345	663.58	0.0013364	undefined	undefined	0.0077876	54.136	0.018472	362.39	400.60	1.6337	0.81901	1.3773	217.04	0.21097	undefined	undefined
-14.042	310.00	972.85	0.0010279	133.70	135.89	0.60731	0.90942	2.0477	655.87	0.0015111	undefined	undefined	0.0075697	56.051	0.017841	362.44	400.57	1.6288	0.82322	1.3964	216.69	0.20872	undefined	undefined
-12.920	320.00	967.95	0.0010331	135.90	138.18	0.61584	0.90938	2.0613	648.31	0.0016884	undefined	undefined	0.0073580	57.980	0.017247	362.47	400.53	1.6240	0.82735	1.4158	216.33	0.20656	undefined	undefined
-11.823	330.00	963.11	0.0010383	138.06	140.43	0.62418	0.90937	2.0750	640.89	0.0018685	undefined	undefined	0.0071524	59.924	0.016688	362.49	400.46	1.6192	0.83142	1.4355	215.97	0.20449	undefined	undefined
-10.751	340.00	958.32	0.0010435	140.19	142.64	0.63235	0.90938	2.0891	633.61	0.0020515	undefined	undefined	0.0069524	61.883	0.016160	362.50	400.38	1.6146	0.83544	1.4556	215.60	0.20250	undefined	undefined
-9.7008	350.00	953.58	0.0010487	142.28	144.81	0.64035	0.90942	2.1034	626.44	0.0022375	undefined	undefined	0.0067578	63.857	0.015660	362.49	400.28	1.6100	0.83941	1.4761	215.22	0.20059	undefined	undefined
-8.6725	360.00	948.89	0.0010539	144.34	146.96	0.64819	0.90948	2.1181	619.40	0.0024268	undefined	undefined	0.0065683	65.847	0.015187	362.46	400.16	1.6056	0.84332	1.4970	214.84	0.19874	undefined	undefined
-7.6648	370.00	944.24	0.0010591	146.37	149.07	0.65589	0.90956	2.1331	612.46	0.0026193	undefined	undefined	0.0063837	67.853	0.014738	362.42	400.02	1.6011	0.84720	1.5184	214.46	0.19696	undefined	undefined
-6.6768	380.00	939.64	0.0010642	148.36	151.15	0.66345	0.90967	2.1485	605.63	0.0028153	undefined	undefined	0.0062037	69.877	0.014311	362.37	399.86	1.5968	0.85103	1.5402	214.06	0.19524	undefined	undefined
-5.7075	390.00	935.07	0.0010694	150.33	153.21	0.67087	0.90981	2.1642	598.90	0.0030149	undefined	undefined	0.0060282	71.918	0.013905	362.30	399.69	1.5925	0.85482	1.5625	213.67	0.19357	undefined	undefined
-4.7561	400.00	930.53	0.0010747	152.27	155.23	0.67817	0.90996	2.1803	592.26	0.0032183	undefined	undefined	0.0058570	73.976	0.013518	362.22	399.50	1.5883	0.85858	1.5853	213.27	0.19196	undefined	undefined
-3.8219	410.00	926.03	0.0010799	154.19	157.24	0.68534	0.91014	2.1969	585.71	0.0034256	undefined	undefined	0.0056899	76.054	0.013149	362.13	399.30	1.5841	0.86231	1.6087	212.86	0.19039	undefined	undefined
-2.9042	420.00	921.56	0.0010851	156.08	159.22	0.69241	0.91034	2.2138	579.24	0.0036370	undefined	undefined	0.0055267	78.150	0.012796	362.02	399.08	1.5800	0.86600	1.6327	212.45	0.18887	undefined	undefined
-2.0022	430.00	917.12	0.0010904	157.95	161.18	0.69937	0.91057	2.2312	572.84	0.0038526	undefined	undefined	0.0053672	80.266	0.012459	361.91	398.84	1.5759	0.86968	1.6573	212.04	0.18739	undefined	undefined
-1.1155	440.00	912.70	0.0010957	159.79	163.11	0.70622	0.91082	2.2491	566.52	0.0040726	undefined	undefined	0.0052114	82.402	0.012136	361.78	398.59	1.5718	0.87332	1.6826	211.62	0.18595	undefined	undefined
-0.24335	450.00	908.30	0.0011010	161.62	165.03	0.71298	0.91109	2.2675	560.27	0.0042972	undefined	undefined	0.0050591	84.559	0.011826	361.63	398.33	1.5678	0.87695	1.7085	211.20	0.18455	undefined	undefined
0.61474	460.00	903.93	0.0011063	163.42	166.93	0.71964	0.91138	2.2864	554.08	0.0045266	undefined	undefined	0.0049102	86.737	0.011529	361.48	398.05	1.5639	0.88056	1.7353	210.78	0.18318	undefined	undefined
1.4593	470.00	899.57	0.0011116	165.21	168.81	0.72622	0.91170	2.3058	547.96	0.0047610	undefined	undefined	0.0047645	88.938	0.011244	361.31	397.75	1.5599	0.88415	1.7628	210.35	0.18185	undefined	undefined
2.2908	480.00	895.23	0.0011170	166.98	170.67	0.73271	0.91205	2.3258	541.89	0.0050007	undefined	undefined	0.0046219	91.161	0.010970	361.13	397.44	1.5560	0.88773	1.7911	209.92	0.18054	undefined	undefined
3.1097	490.00	890.90	0.0011225	168.73	172.52	0.73913	0.91241	2.3465	535.88	0.0052457	undefined	undefined	0.0044825	93.408	0.010706	360.94	397.11	1.5521	0.89129	1.8203	209.49	0.17926	undefined	undefined
3.9164	500.00	886.59	0.0011279	170.46	174.35	0.74547	0.91281	2.3678	529.92	0.0054964	undefined	undefined	0.0043459	95.679	0.010452	360.74	396.77	1.5482	0.89485	1.8505	209.05	0.17801	undefined	undefined
4.7114	510.00	882.29	0.0011334	172.18	176.17	0.75173	0.91323	2.3898	524.01	0.0057530	undefined	undefined	0.0042122	97.975	0.010207	360.53	396.42	1.5444	0.89839	1.8817	208.62	0.17678	undefined	undefined
5.4950	520.00	877.99	0.0011390	173.89	177.97	0.75793	0.91367	2.4125	518.14	0.0060157	undefined	undefined	0.0040813	100.30	0.0099703	360.30	396.04	1.5406	0.90193	1.9139	208.17	0.17558	undefined	undefined
