Temperature (C)	Pressure (psia)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, F/psia)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, F/psia)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
21.000	749.58	777.31	0.0012865	210.57	217.22	0.88820	0.93369	3.3057	390.17	0.014626	undefined	undefined	0.0016947	163.47	0.0061175	351.41	383.02	1.4519	0.98601	3.1974	197.35	0.15100	undefined	undefined
22.000	766.65	769.23	0.0013000	213.23	220.10	0.89747	0.93627	3.4267	380.75	0.015574	undefined	undefined	0.0015570	169.25	0.0059085	350.40	381.63	1.4448	0.99288	3.3731	196.50	0.14918	undefined	undefined
23.000	784.03	760.84	0.0013143	215.95	223.05	0.90693	0.93913	3.5654	371.11	0.016609	undefined	undefined	0.0014217	175.36	0.0057025	349.31	380.14	1.4374	1.0000	3.5750	195.62	0.14729	undefined	undefined
24.000	801.72	752.09	0.0013296	218.73	226.08	0.91659	0.94233	3.7261	361.24	0.017743	undefined	undefined	0.0012891	181.85	0.0054990	348.13	378.52	1.4296	1.0075	3.8092	194.72	0.14532	undefined	undefined
25.000	819.72	742.93	0.0013460	221.59	229.20	0.92650	0.94591	3.9147	351.11	0.018994	undefined	undefined	0.0011592	188.77	0.0052976	346.83	376.77	1.4215	1.0154	4.0843	193.80	0.14326	undefined	undefined
26.000	838.06	733.31	0.0013637	224.53	232.41	0.93670	0.94995	4.1394	340.68	0.020382	undefined	undefined	0.0010322	196.17	0.0050976	345.42	374.87	1.4129	1.0236	4.4121	192.85	0.14108	undefined	undefined
27.000	856.72	723.14	0.0013829	227.58	235.75	0.94724	0.95452	4.4118	329.93	0.021932	undefined	undefined	0.00090841	204.14	0.0048986	343.86	372.80	1.4038	1.0323	4.8098	191.88	0.13877	undefined	undefined
28.000	875.73	712.31	0.0014039	230.74	239.22	0.95818	0.95975	4.7495	318.81	0.023677	undefined	undefined	0.00078799	212.79	0.0046995	342.14	370.51	1.3941	1.0416	5.3023	190.87	0.13629	undefined	undefined
29.000	895.10	700.70	0.0014271	234.05	242.86	0.96962	0.96580	5.1795	307.25	0.025662	undefined	undefined	0.00067127	222.24	0.0044996	340.21	367.98	1.3837	1.0515	5.9286	189.83	0.13361	undefined	undefined
30.000	914.83	688.11	0.0014533	237.54	246.71	0.98169	0.97286	5.7465	295.20	0.027946	undefined	undefined	0.00055860	232.70	0.0042974	338.04	365.14	1.3724	1.0622	6.7523	188.76	0.13067	undefined	undefined
31.000	934.95	674.25	0.0014831	241.26	250.82	0.99457	0.98126	6.5297	282.56	0.030613	undefined	undefined	0.00045046	244.44	0.0040910	335.55	361.92	1.3598	1.0738	7.8847	187.64	0.12740	undefined	undefined
32.000	955.47	658.69	0.0015182	245.29	255.29	1.0085	0.99148	7.6834	269.18	0.033788	undefined	undefined	0.00034745	257.89	0.0038776	332.64	358.19	1.3457	1.0865	9.5408	186.48	0.12369	undefined	undefined
33.000	976.41	640.69	0.0015608	249.77	260.28	1.0241	1.0043	9.5537	254.85	0.037670	undefined	undefined	0.00025044	273.79	0.0036524	329.14	353.73	1.3294	1.1008	12.196	185.25	0.11936	undefined	undefined
34.000	997.82	618.82	0.0016160	254.96	266.08	1.0423	1.0213	13.105	239.22	0.042617	undefined	undefined	0.00016072	293.55	0.0034066	324.72	348.16	1.3095	1.1172	17.145	183.95	0.11405	undefined	undefined
35.000	1019.7	589.52	0.0016963	261.53	273.45	1.0654	1.0461	22.343	221.50	0.049420	undefined	undefined	8.0567e-05	320.66	0.0031186	318.57	340.49	1.2830	1.1367	29.606	182.54	0.10695	undefined	undefined
